date,weight_lbs,calories,steps,protein_g,carbs_g,fat_g,bodyfat_percent,dexa_fat_free_mass_lbs,scale_bodyfat_percent,imputed_fields
2025-06-22,213.0,1883,18565,51,218,56,33.9,140.7,26.5,
2025-06-23,211.0,1767,16624,101,203,60,33.3,140.7,26.0,
2025-06-24,208.8,1814,20811,120,179,45,32.6,140.7,25.5,
2025-06-25,207.8,2573,13798,145,259,89,32.3,140.7,25.3,
2025-06-26,208.1,1780,14458,113,190,66,32.4,140.7,25.3,
2025-06-27,206.9,2164,12070,125,202,79,32.0,140.7,25.2,
2025-06-28,205.8,2995,16328,172,239,114,31.6,140.7,24.9,
2025-06-29,206.8,1896,13983,137,128,70,32.0,140.7,25.2,
2025-06-30,207.3,2039,14085,75,248,71,32.1,140.7,25.3,
2025-07-01,206.9,1909,14312,99,250,40,32.0,140.7,25.2,
2025-07-02,205.1,1459,13029,129,175,25,31.4,140.7,24.8,
2025-07-03,204.9,2669,11332,188,317,46,31.3,140.7,24.7,
2025-07-04,205.4,2936,13114,146,260,76,31.5,140.7,24.9,
2025-07-05,206.7,2124,14547,77,234,80,31.9,140.7,,weight_lbs
2025-07-06,206.7,1553,15723,122,118,44,31.9,140.7,,weight_lbs
2025-07-07,208.0,1949,13041,134,204,38,32.4,140.7,25.4,
2025-07-08,202.9,2400,12238,105,285,62,30.7,140.7,24.3,
2025-07-09,206.0,1794,11174,119,197,43,31.7,140.7,24.9,
2025-07-10,206.2,1292,11623,111,142,26,31.8,140.7,,
2025-07-11,202.3,1439,14582,125,183,25,30.4,140.7,24.1,
2025-07-12,202.5,2887,11790,108,228,117,30.5,140.7,,weight_lbs
2025-07-13,202.5,2147,16492,58,124,54,30.5,140.7,,weight_lbs
2025-07-14,202.5,2318,12848,75,309,75,30.5,140.7,,weight_lbs
2025-07-15,202.5,1429,20561,47,151,53,30.5,140.7,,weight_lbs
2025-07-16,202.5,2091,11031,154,144,67,30.5,140.7,,weight_lbs
2025-07-17,202.7,985,16000,124,49,26,30.6,140.7,24.3,
2025-07-18,199.5,1752,14177,182,109,57,29.5,140.7,23.6,
2025-07-19,200.4,2114,13063,184,149,61,29.8,140.7,23.8,
2025-07-20,201.2,2150,14166,104,283,53,30.1,140.7,24.0,
2025-07-21,202.1,1803,14449,95,199,38,30.4,140.7,,
2025-07-22,201.0,2235,12100,105,227,72,30.0,140.7,23.9,
2025-07-23,201.1,1981,14911,60,211,74,30.0,140.7,,weight_lbs
2025-07-24,201.1,1965,13135,113,150,86,30.0,140.7,,weight_lbs
2025-07-25,201.2,1754,10907,125,106,72,30.1,140.7,24.0,
2025-07-26,200.8,1408,11272,92,114,66,29.9,140.7,23.8,
2025-07-27,198.7,2207,11166,97,147,120,29.2,140.7,23.4,
2025-07-28,199.1,1379,14511,115,80,47,29.3,140.7,23.6,
2025-07-29,199.2,1611,10187,142,86,68,29.4,140.7,,weight_lbs
2025-07-30,199.3,1938,11315,80,151,91,29.4,140.7,23.6,
2025-07-31,198.5,1972,13237,117,132,94,29.1,140.7,23.4,
2025-08-01,198.0,3007,12850,143,219,109,28.9,140.7,23.2,
2025-08-02,195.4,1638,14592,119,99,70,28.0,140.7,22.8,
2025-08-03,199.5,2251,14557,98,204,114,29.5,140.7,23.5,
2025-08-04,198.1,2252,27038,93,218,99,29.0,140.7,,weight_lbs
2025-08-05,198.1,2282,25370,129,160,111,29.0,140.7,,weight_lbs
2025-08-06,198.1,2118,20170,108,150,81,29.0,140.7,,weight_lbs
2025-08-07,198.1,2298,12310,122,183,78,29.0,140.7,,weight_lbs
2025-08-08,196.7,1589,14653,147,78,77,28.5,140.7,23.0,
2025-08-09,193.9,2474,11873,114,170,89,27.4,140.7,22.3,
2025-08-10,194.3,1095,14274,103,30,52,27.6,140.7,22.5,
2025-08-11,195.9,1238,16606,101,67,52,28.2,140.7,22.7,
2025-08-12,194.0,1311,11810,109,70,48,27.5,140.7,22.5,
2025-08-13,194.4,1658,12438,90,167,53,27.6,140.7,22.5,
2025-08-14,194.0,1901,14144,107,162,64,27.5,140.7,22.5,
2025-08-15,193.2,2627,11382,124,221,93,27.2,140.7,,weight_lbs
2025-08-16,192.5,2062,16281,144,106,351,26.9,140.7,22.0,
2025-08-17,192.9,1569,14992,104,66,53,27.1,140.7,22.2,
2025-08-18,191.6,2478,12113,110,188,84,26.6,140.7,21.9,
2025-08-19,195.6,1510,15024,139,70,63,28.1,140.7,22.7,
2025-08-20,194.0,2452,14397,154,147,89,27.5,140.7,22.5,
2025-08-21,194.6,1715,11799,143,103,64,27.7,140.7,22.5,
2025-08-22,192.4,2568,10283,105,180,87,26.9,140.7,22.0,
2025-08-23,191.4,2646,14542,103,223,81,26.5,140.7,21.9,
2025-08-24,191.6,2350,11384,104,179,63,26.6,140.7,,weight_lbs
2025-08-25,191.8,2249,14387,151,145,92,26.6,140.7,22.0,
2025-08-26,192.2,1737,10093,107,159,79,26.8,140.7,,weight_lbs
2025-08-27,192.6,1714,11361,88,167,53,26.9,140.7,22.1,
2025-08-28,192.1,1964,11519,164,91,79,26.8,140.7,22.1,
2025-08-29,194.4,1989,11119,127,135,70,27.6,140.7,22.4,
2025-08-30,190.7,2878,14208,157,189,94,26.2,140.7,21.7,
2025-08-31,191.4,1587,13027,151,79,45,26.5,140.7,,weight_lbs
2025-09-01,192.1,1549,22898,179,75,41,26.8,140.7,22.0,
2025-09-02,191.7,1875,11840,160,126,64,26.6,140.7,21.9,
2025-09-03,191.6,1656,13253,143,126,61,26.6,140.7,21.8,
2025-09-04,191.5,2511,13846,208,133,64,26.5,140.7,21.8,
2025-09-05,191.5,1465,11315,139,70,72,26.5,140.7,21.8,
2025-09-06,191.7,1783,18849,100,143,78,26.6,140.7,,weight_lbs
2025-09-07,191.7,1609,17571,124,100,60,26.6,140.7,,weight_lbs
2025-09-08,191.8,1433,14858,129,83,49,26.6,140.7,22.0,
2025-09-09,189.8,1629,12686,170,70,53,25.9,140.7,21.6,
2025-09-10,189.2,1756,12238,162,112,58,25.6,140.7,,
2025-09-11,188.8,1641,10689,179,87,52,25.5,140.7,21.3,
2025-09-12,186.6,2521,14590,145,197,79,24.6,140.7,20.8,
2025-09-13,186.2,1852,12146,135,146,64,24.4,140.7,20.8,
2025-09-14,186.6,1941,11037,168,104,75,24.6,140.7,20.8,
2025-09-15,187.3,1857,12417,210,86,60,24.9,140.7,20.9,
2025-09-16,186.4,1640,14959,195,79,49,24.5,140.7,20.8,
2025-09-17,187.1,1896,12732,215,83,65,24.8,140.7,,weight_lbs
2025-09-18,187.8,1531,14114,194,60,55,25.1,140.7,21.1,
